200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,1,1
211,-1,-2
212,-6,-5
213,-14,-8
214,-24,-10
215,-36,-12
216,-53,-17
217,-71,-18
218,-91,-20
219,-114,-23
220,-137,-23
221,-165,-28
222,-193,-28
223,-222,-29
224,-251,-29
225,-286,-35
226,-321,-35
227,-357,-36
228,-394,-37
229,-436,-42
230,-478,-42
231,-519,-41
232,-571,-52
233,-618,-47
234,-675,-57
235,-726,-51
236,-781,-55
237,-837,-56
238,-899,-62
239,-958,-59
240,-1026,-68
241,-1085,-59
242,-1155,-70
243,-1215,-60
244,-1293,-78
245,-1361,-68
246,-1437,-76
247,-1518,-81
248,-1590,-72
249,-1670,-80
250,-1757,-87
251,-1843,-86
252,-1934,-91
253,-2023,-89
254,-2119,-96
255,-2213,-94
256,-2310,-97
257,-2410,-100
258,-2511,-101
259,-2612,-101
260,-2713,-101
261,-2819,-106
262,-2923,-104
263,-3034,-111
264,-3143,-109
265,-3259,-116
266,-3369,-110
267,-3484,-115
268,-3603,-119
269,-3723,-120
270,-3840,-117
271,-3965,-125
272,-4084,-119
273,-4214,-130
274,-4339,-125
275,-4473,-134
276,-4609,-136
277,-4744,-135
278,-4881,-137
279,-5023,-142
280,-5164,-141
281,-5304,-140
282,-5455,-151
283,-5599,-144
284,-5749,-150
285,-5905,-156
286,-6059,-154
287,-6215,-156
288,-6376,-161
289,-6535,-159
290,-6703,-168
291,-6866,-163
292,-7038,-172
293,-7205,-167
294,-7375,-170
295,-7547,-172
296,-7721,-174
297,-7892,-171
298,-8065,-173
299,-8245,-180
300,-8424,-179
301,-8597,-173
302,-8787,-190
303,-8979,-192
304,-9170,-191
305,-9360,-190
306,-9548,-188
307,-9743,-195
308,-9943,-200
309,-10144,-201
310,-10337,-193
311,-10545,-208
312,-10743,-198
313,-10950,-207
314,-11167,-217
315,-11376,-209
316,-11593,-217
317,-11803,-210
318,-12015,-212
319,-12235,-220
320,-12456,-221
321,-12671,-215
322,-12895,-224
323,-13112,-217
324,-13340,-228
325,-13567,-227
326,-13803,-236
327,-14029,-226
328,-14271,-242
329,-14498,-227
330,-14738,-240
331,-14977,-239
332,-15220,-243
333,-15460,-240
334,-15708,-248
335,-15958,-250
336,-16211,-253
337,-16460,-249
338,-16716,-256
339,-16967,-251
340,-17217,-250
341,-17482,-265
342,-17725,-243
343,-18005,-280
344,-18271,-266
345,-18535,-264
346,-18802,-267
347,-19081,-279
348,-19349,-268
349,-19626,-277
350,-19901,-275
351,-20187,-286
352,-20471,-284
353,-20754,-283
354,-21032,-278
